7680196,7549993,7550555,7552347,45279284
8209559,1371962,1370397,1372178,1369367
1325775,1321997,7933832,1321833,1322468
8698034,8695035,52181947,8698271,8696156
59054300,59066981,59047855,59059095,354302898
1157955,6893728,1151756,1151393,1151558
425692,2075527,357387,358384,356751
491671,512747,2925384,490817,490913
2586010,2590632,15511082,2588074,2587339
10997111,65936910,10987734,10994409,10991957
1225701,1218553,1219311,1217133,7297134
1211582,201011,201956,201202,201632
156859,155042,928880,155121,153779
654854,654960,3929872,654903,656211
2226966,13358933,2224686,2223764,2226126
224968,1291777,216380,217559,216580
297292,80813,54033,54021,53623
47931,47911,47823,285040,48633
149334,150342,897882,149747,149140
481292,2885216,480829,481543,479825
45614,210907,36867,36665,36483
29787,20308,111682,20264,20156
70454,69812,419154,69966,70127
162216,162904,972123,161918,161954
727930,726059,725947,728601,4361161
