2416531,1226999,1176450,1175790,6764251
1061880,207908,181291,181146,180381
192417,175089,929002,162009,161334
823176,830606,4935074,823918,827253
5288961,5288403,5288243,5288225,31722604
305368,1290369,227592,227074,228126
333102,55450,55698,55588,55199
53970,278957,62005,49269,48871
209770,364211,1097368,209308,209419
939547,5642157,940145,937794,937821
318153,236143,236993,236863,1336260
221439,37127,37018,36898,36704
27918,16719,88084,16574,16495
56737,55189,332415,55639,55896
189239,1133912,188208,189603,189667
141526,261485,57342,57357,57286
72646,11982,12054,12044,12007
8704,6265,6301,27180,14858
13652,13344,67516,24747,12987
40968,242541,40766,43490,40678
108435,66669,25119,24990,25049
34426,5775,5601,5705,5765
8634,6165,34761,6327,6175
16776,16350,96935,16341,16293
70550,69876,86204,69961,402380
