140,161,165,158,150
156,153,146,167,140
139,159,159,135,153
155,141,130,163,168
138,96,117,136,112
169,167,159,165,166
179,165,159,141,155
149,132,154,163,165
153,151,149,176,156
151,145,143,136,119
187,154,173,172,169
163,169,148,182,179
169,150,166,159,156
156,160,161,149,156
142,147,136,149,156
177,171,182,198,181
160,179,170,181,167
155,177,155,164,10163
164,142,140,150,169
150,142,136,161,149
194,219,193,217,214
214,171,152,191,185
162,159,176,174,153
181,142,166,161,160
163,164,184,154,156
