15849,15788,15894,15851,15711
15894,15923,15828,16002,15895
15737,15860,15924,15826,15875
15937,16006,15915,15983,15780
15937,15569,15751,15937,15892
15990,15850,16086,16049,15899
15936,16093,15932,16061,16120
16014,15722,15922,15952,16150
15961,15974,16122,16151,16070
16108,15959,16234,16056,16358
15996,16198,15760,16061,16076
15993,15920,15914,16072,15899
15983,15892,16217,15950,16107
16222,16195,15756,16056,16356
15914,16064,15828,16015,16179
16101,15977,16046,16043,15777
15881,16095,16105,15809,16202
15894,15954,15884,16183,1015988
15905,15947,16052,15953,16208
15938,16181,16123,15930,16045
16178,16125,16056,16202,16220
16138,15878,15928,16083,15909
16079,15955,16079,15830,16020
16002,15979,16273,16009,16306
16221,15982,16041,16258,16072
